ID,Colonia,Alcaldía,Latitud,Longitud,Puntos_de_acceso,Programa
LA CUESTA,EL MIRADOR,ÁLVARO OBREGÓN,19.3455,-99.2259,4,PILARES
ÁRBOL DEL CONOCIMIENTO,LA CAÑADA 2DA SECCION,ÁLVARO OBREGÓN,19.3843,-99.2221,6,PILARES
SANTA ÚRSULA,PEDREGAL DE SANTA URSULA,COYOACÁN,19.3099,-99.1571,1,PILARES
BENEMÉRITO DE LAS AMÉRICAS,EL ARBOLILLO,GUSTAVO A. MADERO,19.5351,-99.1385,5,PILARES
CARLOTA BOTEY,LOS ANGELES,IZTAPALAPA,19.341,-99.0663,3,PILARES
CHICHICASPALT,PEDREGAL DE SAN NICOLAS 4TA SECCION,TLALPAN,19.2778,-99.24,3,PILARES
BELÉN DE LAS FLORES,BELEM DE LAS FLORES 2101,ÁLVARO OBREGÓN,19.3971,-99.2176,2,PILARES
EL CAPULÍN,EL CAPULIN 2174,ÁLVARO OBREGÓN,19.3956,-99.2122,1,PILARES
CENTENARIO,JUAN GONZALEZ ROMERO,GUSTAVO A. MADERO,19.5091,-99.0906,1,PILARES
BENITA GALEANA,NUEVA TENOCHTITLAN,GUSTAVO A. MADERO,19.4553,-99.1005,1,PILARES
LA FORTALEZA,GABRIEL RAMOS MILLAN SECCION CUCHILLA,IZTACALCO,19.3877,-99.0916,3,PILARES
AGRÍCOLA PANTITLÁN,AGRICOLA PANTITLAN,IZTACALCO,19.4154,-99.0683,1,PILARES
JOSÉ MARTÍ,LA ASUNCION,IZTACALCO,19.3905,-99.1212,1,PILARES
PALMITAS,CITLALLI 2135,IZTAPALAPA,19.339,-99.0259,3,PILARES
SAN MIGUEL TEOTONGO,SAN MIGUEL TEOTONGO,IZTAPALAPA,19.3405,-98.9925,2,PILARES
ACAHUALTEPEC,SANTIAGO ACAHUALTEPEC 2DA AMPLIACION 2530,IZTAPALAPA,19.346,-99.0081,2,PILARES
GABRIELA MISTRAL,LEYES DE REFORMA 1RA SECCION,IZTAPALAPA,19.36,-99.0688,1,PILARES
COOPEREMOS PUEBLO,SANTA CRUZ MEYEHUALCO 2498,IZTAPALAPA,19.3413,-99.0408,2,PILARES
TLALTENCO,SELENE 2546,TLÁHUAC,19.2911,-99.0093,2,PILARES
GARCÍA LORCA,ZAPOTITLA 2597,TLÁHUAC,19.3116,-99.0369,2,PILARES
VIADUCTO,JARDIN BALBUENA 2225,VENUSTIANO CARRANZA,19.4072,-99.1133,2,PILARES
TULYEHUALCO,BARRIO CALYEQUITA,XOCHIMILCO,19.2544,-99.0115,2,PILARES
COLOSIO (IXTLAHUACAN),IZTLAHUACAN,IZTAPALAPA,19.3423,-98.9964,5,PILARES
HERRERIA (SANTA CRUZ),SANTA CRUZ,MILPA ALTA,19.1935,-99.0189,4,PILARES
MOCTEZUMA,MOCTEZUMA 2DA SECCION,VENUSTIANO CARRANZA,19.428,-99.1011,6,PILARES
CENDI TRES ESTRELLAS,TRES ESTRELLAS,GUSTAVO A. MADERO,19.4714,-99.1109,2,PILARES
CUCHILLA DEL TESORO,CUCHILLA DEL TESORO 2154,GUSTAVO A. MADERO,19.4485,-99.0549,5,PILARES
ANA BOLENA,MIGUEL HIDALGO 2335,TLÁHUAC,19.2919,-99.054,6,PILARES
EL MOLINO,CANANEA,IZTAPALAPA,19.2925,-99.0619,5,PILARES
SANTA ANITA (CONGRESO DE LA UNION),SANTA ANITA 2492,IZTACALCO,19.404,-99.1216,2,PILARES
SANTA MARTHA ACATITLA NORTE (PATOLLI),SANTA MARTHA ACATITLA 2522,IZTAPALAPA,19.3695,-99.0087,5,PILARES
CASA AMARILLA,OBSERVATORIO,MIGUEL HIDALGO,19.4065,-99.1893,3,PILARES
AGRÍCOLA ORIENTAL (SACMEX),AGRICOLA ORIENTAL,IZTACALCO,19.3865,-99.0644,7,PILARES
SAN JUAN DE ARAGON II SECCION,SAN JUAN DE ARAGON I SECCION 2437,GUSTAVO A. MADERO,19.4545,-99.0855,3,PILARES
CARLOS PACHECO,EJERCITO DE ORIENTE,IZTAPALAPA,19.3673,-99.0281,5,PILARES
EJE 5 SUR (CIRCUNVALACION),SANTA MARIA AZTAHUACAN 2506,IZTAPALAPA,19.3665,-99.0399,4,PILARES
SAN LORENZO TLACOYUCAN,SAN LORENZO TLACOYUCAN,MILPA ALTA,19.1777,-99.0302,4,PILARES
TIERRA BLANCA,TIERRA BLANCA,TLÁHUAC,19.2394,-99.0051,5,PILARES
NIÑO QUEMADO,PEÑON DE LOS BAÑOS,VENUSTIANO CARRANZA,19.4374,-99.0857,5,PILARES
RIO SAN BORJA,GOLONDRINAS 2DA SECCION,ÁLVARO OBREGÓN,19.3762,-99.2156,3,PILARES
ZONA ROSA,JUAREZ,CUAUHTÉMOC,19.4247,-99.1655,1,PILARES
PERÚ 88,CENTRO,CUAUHTÉMOC,19.4398,-99.1343,6,PILARES
INSURGENTES,JUAREZ,CUAUHTÉMOC,19.4234,-99.1626,2,PILARES
VALLE GÓMEZ,VALLE GOMEZ,CUAUHTÉMOC,19.4571,-99.124,2,PILARES
SEPI (NEZAHUALCOYOTL),CENTRO,CUAUHTÉMOC,19.4256,-99.141,1,PILARES
SEDUVI (ROMA NORTE),ROMA NORTE,CUAUHTÉMOC,19.413,-99.1627,3,PILARES
FRIDA KAHLO,DOCTORES,CUAUHTÉMOC,19.4106,-99.144,2,PILARES
XICOMULCO,SAN BARTOLOME XICOMULCO,MILPA ALTA,19.2069,-99.0712,2,PILARES
ATOCPAN,TULA,MILPA ALTA,19.2027,-99.0521,2,PILARES
CUAUHTENCO,SAN SALVADOR CUAUHTENCO,MILPA ALTA,19.1939,-99.0915,2,PILARES
LA NOPALERA,SAN LORENZO,XOCHIMILCO,19.2664,-99.055,1,PILARES
LA JOYA,LA JOYA 2247,TLALPAN,19.2788,-99.1674,2,PILARES
TOPILEJO,SAN MIGUEL TOPILEJO 2479,TLALPAN,19.1989,-99.1413,6,PILARES
SAN GREGORIO ATLAPULCO,SAN GREGORIO ATLAPULCO 2426,XOCHIMILCO,19.2562,-99.0608,3,PILARES
SAN LUCAS XOCHIMANCA,SAN LUCAS XOCHIMANCA 2447,XOCHIMILCO,19.2451,-99.1141,3,PILARES
SANTIAGO TEPALCATLALPAN,SANTIAGO TEPALCATLALPAN 2537,XOCHIMILCO,19.248,-99.1275,2,PILARES
SANTA CECILIA TEPETLAPA,SANTA CECILIA TEPETLAPA,XOCHIMILCO,19.216,-99.0993,2,PILARES
TEPEPAN,SANTA MARIA TEPEPAN,XOCHIMILCO,19.281,-99.1375,2,PILARES
SAN FRANCISCO,PEDREGAL DE SAN FRANCISCO,XOCHIMILCO,19.2033,-99.1292,2,PILARES
AHUALAPA,SANTA CRUZ ACALPIXCA,XOCHIMILCO,19.2463,-99.0703,3,PILARES
BUENAVISTA,BUENAVISTA,CUAUHTÉMOC,19.4496,-99.1475,6,PILARES
TEPITO MORELOS,MORELOS,CUAUHTÉMOC,19.4442,-99.1306,7,PILARES
LA CASITA,SAN JUAN TEPEPAN,XOCHIMILCO,19.2717,-99.128,5,PILARES
DIF AJUSCO (SAN MIGUEL AJUSCO),SAN MIGUEL AJUSCO 2465,TLALPAN,19.2297,-99.1952,5,PILARES
CHALMITA,SAN MIGUEL,MILPA ALTA,19.1834,-99.0754,4,PILARES
SAN LORENZO ATEMOAYA,SAN LUCAS XOCHIMANCA 2448,XOCHIMILCO,19.2455,-99.1038,3,PILARES
FELIPE ANGELES,FELIPE ANGELES,VENUSTIANO CARRANZA,19.4525,-99.1135,4,PILARES
MUYUGUARDA (BARRIO 18),BARRIO 18 2099,XOCHIMILCO,19.2756,-99.1185,5,PILARES
SAN MARCOS,SAN MARCOS 2450,XOCHIMILCO,19.2703,-99.1118,5,PILARES
CIBERESCUELA CUAJIMALPA,CUAJIMALPA,CUAJIMALPA DE MORELOS,19.3581,-99.3012,1,PILARES
MERCADO CUAUTEPEC (LOMA DE LA PALMA),CUAUTEPEC DE MADERO,GUSTAVO A. MADERO,19.5475,-99.1431,1,PILARES
DEPÓSITO RTP,REYNOSA TAMAULIPAS,AZCAPOTZALCO,19.4976,-99.1878,5,PILARES
SANTA LUCIA,COLINA DEL SUR 2140,ÁLVARO OBREGÓN,19.3686,-99.2229,1,PILARES
SANTA FE,SANTA FE 2500,ÁLVARO OBREGÓN,19.3827,-99.2404,3,PILARES
LOMAS DE LA ERA,LOMAS DE LOS CEDROS,ÁLVARO OBREGÓN,19.3257,-99.2593,3,PILARES
PRESIDENTES,PRESIDENTES,ÁLVARO OBREGÓN,19.3772,-99.2213,5,PILARES
GOMEZ FARIAS,CARLOS ALBERTO MADRAZO,ÁLVARO OBREGÓN,19.3803,-99.2496,1,PILARES
CHAMONTOYA,LOMAS DE CHAMONTOYA,ÁLVARO OBREGÓN,19.3182,-99.2678,4,PILARES
LA ARAÑA,PUNTA DE CEHUAYA,ÁLVARO OBREGÓN,19.3626,-99.2403,3,PILARES
JALALPA TEPITO,JALALPA TEPITO,ÁLVARO OBREGÓN,19.3743,-99.237,3,PILARES
COLTONGO,COLTONGO,AZCAPOTZALCO,19.4817,-99.1533,4,PILARES
SAN PEDRO XALPA,SAN PEDRO XALPA 2491,AZCAPOTZALCO,19.4842,-99.2096,1,PILARES
MARGARITA MAZA DE JUÁREZ,TEZOZOMOC,AZCAPOTZALCO,19.4904,-99.1991,4,PILARES
SAN MIGUEL AMANTLA,SAN MIGUEL AMANTLA,AZCAPOTZALCO,19.4753,-99.2043,2,PILARES
LA NARANJA,SAN PEDRO XALPA 2490,AZCAPOTZALCO,19.4745,-99.2185,2,PILARES
XOCHINAHUAC,SAN MARTIN XOCHINAHUAC 2452,AZCAPOTZALCO,19.5098,-99.1893,1,PILARES
PROHOGAR,PRO HOGAR,AZCAPOTZALCO,19.4749,-99.1498,4,PILARES
XALLI,ARENAL,AZCAPOTZALCO,19.4642,-99.1519,3,PILARES
TOPILTZIN,AJUSCO,COYOACÁN,19.323,-99.1577,2,PILARES
EL RELOJ,EL RELOJ,COYOACÁN,19.3175,-99.1411,4,PILARES
VILLA PANAMERICANA,PEDREGAL DE CARRASCO,COYOACÁN,19.31,-99.1699,2,PILARES
SANTA ANA,CTM VI CULHUACAN,COYOACÁN,19.3284,-99.1142,1,PILARES
TAXQUEÑA,CAMPESTRE CHURUBUSCO,COYOACÁN,19.3419,-99.1436,4,PILARES
LA ESCUELITA DE COYOACÁN,PEDREGAL DE SANTO DOMINGO 2375,COYOACÁN,19.3259,-99.1649,2,PILARES
CANTERA,CIUDAD UNIVERSITARIA,COYOACÁN,19.3179,-99.172,2,PILARES
EMILIANO ZAPATA,EMILIANO ZAPATA,COYOACÁN,19.3269,-99.1381,2,PILARES
ZENTLAPALT,AGUA BENDITA,CUAJIMALPA DE MORELOS,19.3554,-99.3095,3,PILARES
BENITO JUAREZ (CHAMIXTO),LOMA DEL PADRE,CUAJIMALPA DE MORELOS,19.3483,-99.3094,3,PILARES
SAN PABLO CHIMALPA,SAN PABLO CHIMALPA,CUAJIMALPA DE MORELOS,19.3531,-99.3176,2,PILARES
RIO TIBER,CUAUHTEMOC,CUAUHTÉMOC,19.4328,-99.1706,2,PILARES
TOLNÁHUAC,SAN SIMON TOLNAHUAC,CUAUHTÉMOC,19.4614,-99.1437,2,PILARES
ATLAMPA,ATLAMPA,CUAUHTÉMOC,19.4592,-99.1603,3,PILARES
CIEN METROS,SANTIAGO ATEPETLAC 2532,GUSTAVO A. MADERO,19.5266,-99.1589,2,PILARES
MAGDALENA DE LAS SALINAS,MAGDALENA DE LAS SALINAS,GUSTAVO A. MADERO,19.4785,-99.1457,4,PILARES
LA MUELA,ZONA ESCOLAR ORIENTE,GUSTAVO A. MADERO,19.5327,-99.144,4,PILARES
MAZATLAN,BARRIO CANDELARIA TICOMAN,GUSTAVO A. MADERO,19.5214,-99.1419,2,PILARES
RICHARD WAGNER,VALLEJO,GUSTAVO A. MADERO,19.4655,-99.1292,3,PILARES
TLALPEXCO,TLALPEXCO,GUSTAVO A. MADERO,19.5448,-99.1258,2,PILARES
EL VIVERO,ARBOLEDAS DE CUAUTEPEC 2085,GUSTAVO A. MADERO,19.5619,-99.1262,6,PILARES
PROGRESO SUR,ESCUADRON 201,IZTAPALAPA,19.3568,-99.1131,2,PILARES
CERRO DE LA ESTRELLA,SAN JUAN CERRO,IZTAPALAPA,19.3455,-99.0813,2,PILARES
FACUNDO CABRAL,LOS REYES CULHUACAN 2313,IZTAPALAPA,19.3435,-99.1024,2,PILARES
CENTRAL DE ABASTO,SAN JOSE,IZTAPALAPA,19.3738,-99.0991,2,PILARES
VALLE DE LUCES,VALLE DE LUCES 2581,IZTAPALAPA,19.338,-99.0982,6,PILARES
SAN BERNABE (PARCELA),LOMAS DE SAN BERNABE 2279,LA MAGDALENA CONTRERAS,19.3105,-99.2649,3,PILARES
LA MALINCHE,LA MALINCHE,LA MAGDALENA CONTRERAS,19.3231,-99.2393,3,PILARES
HUAYATLA,PUEBLO NUEVO ALTO,LA MAGDALENA CONTRERAS,19.3053,-99.2486,3,PILARES
PENSIL,REFORMA PENSIL,MIGUEL HIDALGO,19.4489,-99.1944,5,PILARES
CANEGUÍN,ARGENTINA ANTIGUA,MIGUEL HIDALGO,19.4547,-99.2052,3,PILARES
CUCHILLA DE PADIERNA,LOMAS DEL PEDREGAL CUCHILLA DE PADIERNA,TLALPAN,19.2761,-99.2168,3,PILARES
ECOGUARDAS,SIN NOMBRE 2613,TLALPAN,19.2711,-99.2046,1,PILARES
TIZIMÍN,JARDINES DEL AJUSCO,TLALPAN,19.2895,-99.2163,2,PILARES
BELVEDERE,2 DE OCTUBRE 2062,TLALPAN,19.2674,-99.2292,4,PILARES
TACUBA,SAN DIEGO OCOYOACAC,MIGUEL HIDALGO,19.4602,-99.19,3,PILARES
TOKYO,MALACATES 2322,GUSTAVO A. MADERO,19.5766,-99.1371,3,PILARES
ALÍ CHUMASERO,LA PURISIMA TICOMAN,GUSTAVO A. MADERO,19.5122,-99.1399,5,PILARES
CALHUACATZINGO (SALINAS),LAS SALINAS,AZCAPOTZALCO,19.4891,-99.1663,4,PILARES
BOSQUES,BOSQUES DEL PEDREGAL,TLALPAN,19.2713,-99.2393,3,PILARES
JOSE MUJICA,CTM VII CULHUACAN,COYOACÁN,19.3258,-99.1059,6,PILARES
FARO AZCAPOTZALCO (EL ROSARIO),EL ROSARIO 2183,AZCAPOTZALCO,19.5082,-99.1998,2,PILARES
GUADALUPE VICTORIA (LA COMUNA),ZONA ESCOLAR ORIENTE,GUSTAVO A. MADERO,19.5412,-99.1422,5,PILARES
DIF MIGUEL HIDALGO,MIGUEL HIDALGO 2DA SECCION,TLALPAN,19.2848,-99.1959,6,PILARES
CONTADERO,CONTADERO,CUAJIMALPA DE MORELOS,19.3483,-99.3027,5,PILARES
(SAN FRANCISCO) FERROCARRIL DE CUERNAVACA,SAN FRANCISCO 2417,LA MAGDALENA CONTRERAS,19.3125,-99.2334,5,PILARES
SALECIANO,ANAHUAC,MIGUEL HIDALGO,19.4479,-99.1772,3,PILARES
HUIPULCO,CARMEN SERDAN 2132,COYOACÁN,19.3012,-99.1471,1,PILARES
DIAZ MIRON,SALVADOR DIAZ MIRON,GUSTAVO A. MADERO,19.4882,-99.0994,4,PILARES
SANTA MARIA TICOMAN,LOMA LA PALMA,GUSTAVO A. MADERO,19.5502,-99.1434,3,PILARES
PROGRESO NACIONAL,NUEVA INDUSTRIAL VALLEJO,GUSTAVO A. MADERO,19.5164,-99.1528,4,PILARES
MERCADO SAN FELIPE DE JESUS,SAN FELIPE DE JESUS,GUSTAVO A. MADERO,19.4933,-99.0783,3,PILARES
BARRIO NORTE II,BARRIO NORTE,ÁLVARO OBREGÓN,19.3796,-99.2065,3,PILARES
ISIDRO FABELA,ISIDRO FABELA,ÁLVARO OBREGÓN,19.3859,-99.2088,3,PILARES
OLIVAR DEL CONDE,OLIVAR DEL CONDE 1RA SECCION 2354,ÁLVARO OBREGÓN,19.3739,-99.2046,4,PILARES
LAS AGUILAS,OLIVAR DEL CONDE 1RA SECCION 2353,ÁLVARO OBREGÓN,19.3728,-99.2138,3,PILARES
MUNICIPIO LIBRE,PORTALES ORIENTE,BENITO JUÁREZ,19.368,-99.1416,1,PILARES
PORTALES,PORTALES SUR,BENITO JUÁREZ,19.3644,-99.1435,4,PILARES
SAN FRANCISCO TULTENCO,PAULINO NAVARRO,CUAUHTÉMOC,19.411,-99.1288,3,PILARES
CHABACANO,OBRERA,CUAUHTÉMOC,19.408,-99.1361,2,PILARES
NUEVA ATZACOALCO,NUEVA ATZACOALCO,GUSTAVO A. MADERO,19.5008,-99.0848,2,PILARES
EJIDOS DE SAN JUAN DE ARAGÓN,EX EJIDO SAN JUAN DE ARAGON SECTOR 33,GUSTAVO A. MADERO,19.4695,-99.0913,2,PILARES
ZAPATA VELA,CARLOS ZAPATA VELA,IZTACALCO,19.3822,-99.0967,5,PILARES
ROJO GÓMEZ,AGRICOLA ORIENTAL,IZTACALCO,19.4047,-99.071,1,PILARES
REFORMA IZTLACIHUATL,REFORMA IZTACCIHUATL NORTE,IZTACALCO,19.3863,-99.1327,1,PILARES
PLUTARCO ELÍAS CALLES (COYUYA),FRACCIONAMIENTO COYUYA,IZTACALCO,19.3983,-99.114,1,PILARES
TEZONTLE,LOS PICOS DE IZTACALCO SECCION 1RA 2311,IZTACALCO,19.3883,-99.1125,1,PILARES
RENOVACIÓN,RENOVACION,IZTAPALAPA,19.3695,-99.047,3,PILARES
VILLA CID,DESARROLLO URBANO QUETZALCOATL,IZTAPALAPA,19.3215,-99.0425,2,PILARES
YAUTLICA,CAMPESTRE POTRERO 2127,IZTAPALAPA,19.3335,-98.9843,5,PILARES
CERRO AZUL,BUENAVISTA,IZTAPALAPA,19.3261,-99.0278,4,PILARES
NOGAL,CITLALLI 2135,IZTAPALAPA,19.3419,-99.023,3,PILARES
ADOLFO LOPEZ MATEOS (SANTA CRUZ MEYEHUALCO),SANTA CRUZ MEYEHUALCO 2497,IZTAPALAPA,19.3487,-99.0446,6,PILARES
PURISIMA,PURISIMA ATLAZOLPA,IZTAPALAPA,19.3792,-99.1098,1,PILARES
ESCUADRON 201,GRANJAS DE SAN ANTONIO,IZTAPALAPA,19.3701,-99.1079,2,PILARES
EMILIO ROSAS,UNIDAD VICENTE GUERRERO,IZTAPALAPA,19.3527,-99.0563,3,PILARES
LOMAS DE ZARAGOZA,SANTIAGO ACAHUALTEPEC,IZTAPALAPA,19.3584,-98.9999,2,PILARES
CONSTITUCION DE 1917,LOS ANGELES,IZTAPALAPA,19.3443,-99.0612,1,PILARES
TETECÓN,PARAJES BUENAVISTA (TETECON),IZTAPALAPA,19.3225,-99.0291,3,PILARES
TEPALCATES,TEPALCATES,IZTAPALAPA,19.393,-99.0556,8,PILARES
BAMBU,LOMAS DE LA ESTANCIA,IZTAPALAPA,19.3404,-99.0053,3,PILARES
ERMITA,ERMITA ZARAGOZA,IZTAPALAPA,19.3642,-99.0023,2,PILARES
TIERRA Y LIBERTAD,AMPLIACION EMILIANO ZAPATA,IZTAPALAPA,19.3387,-98.9789,8,PILARES
REFORMA POLITICA (DIF LA FORD),SIERRA DEL VALLE,IZTAPALAPA,19.3438,-99.0308,5,PILARES
XALTIPAC,XALTIPAC,MILPA ALTA,19.2173,-98.9891,1,PILARES
MIXQUIC,SANTA CRUZ,TLÁHUAC,19.2263,-98.9527,2,PILARES
MURCIELAGO,MIGUEL HIDALGO 2331,TLÁHUAC,19.2916,-99.0493,2,PILARES
PAULO FREIRE,EL TRIANGULO,TLÁHUAC,19.2836,-99.0119,2,PILARES
MIGUEL HIDALGO,MIGUEL HIDALGO 2330,TLÁHUAC,19.2928,-99.0461,2,PILARES
COCODRILO,LOS OLIVOS 2309,TLÁHUAC,19.3019,-99.0595,6,PILARES
ROSARIO CASTELLANOS,SANTA CECILIA,TLÁHUAC,19.2783,-99.008,2,PILARES
ESCUELA PARA LA VIDA,LA ASUNCION,TLÁHUAC,19.2442,-98.9947,3,PILARES
FRAY SERVANDO,UNIDAD KENNEDY,VENUSTIANO CARRANZA,19.4197,-99.1115,2,PILARES
AV DEL TALLER,JARDIN BALBUENA 2225,VENUSTIANO CARRANZA,19.4137,-99.1132,2,PILARES
CANDELARIA DE LOS PATOS,ZONA CENTRO 2603,VENUSTIANO CARRANZA,19.4318,-99.1199,9,PILARES
TLAXIALTEMALCO,SAN LUIS TLAXIALTEMALCO,XOCHIMILCO,19.2559,-99.0357,4,PILARES
ACUEXCOMATL,SAN LUIS TLAXIALTEMALCO,XOCHIMILCO,19.261,-99.0286,4,PILARES
CIGAMEC,SAN FELIPE DE JESUS,GUSTAVO A. MADERO,19.5006,-99.0744,6,PILARES
8 DE AGOSTO,8 DE AGOSTO 2068,BENITO JUÁREZ,19.3955,-99.1879,4,PILARES
DIF ADOLFO LOPEZ MATEOS,ADOLFO LOPEZ MATEOS 2075,VENUSTIANO CARRANZA,19.4211,-99.0733,2,PILARES
CENDI CASAS ALEMÁN,CERRO PRIETO,GUSTAVO A. MADERO,19.4529,-99.098,2,PILARES
SAN JUAN DE ARAGÓN,SAN JUAN DE ARAGON I SECCION 2437,GUSTAVO A. MADERO,19.4573,-99.083,5,PILARES
REPÚBLICA,SANTA MARTHA ACATITLA 2520,IZTAPALAPA,19.3719,-99.0163,12,PILARES
CENDI GERTRUDIS SANCHEZ,GERTRUDIS SANCHEZ 2DA SECCION 2209,GUSTAVO A. MADERO,19.4642,-99.1014,2,PILARES
VASCO DE QUIROGA,VASCO DE QUIROGA,GUSTAVO A. MADERO,19.4963,-99.093,5,PILARES
LA CONCHITA,LIBERALES DE 1857,ÁLVARO OBREGÓN,19.3924,-99.2157,5,PILARES
EL MOLINO TEZONCO,JARDINES DE SAN LORENZO TEZONCO,IZTAPALAPA,19.2949,-99.0738,4,PILARES
CASAS ALEMÁN (GRAN CANAL),AMPLIACION CASAS ALEMAN,GUSTAVO A. MADERO,19.4784,-99.0899,6,PILARES
PLAZA DE LOS JÓVENES,XALPA,IZTAPALAPA,19.3312,-99.0172,5,PILARES
VELÓDROMO,JARDIN BALBUENA 2225,VENUSTIANO CARRANZA,19.4102,-99.1043,4,PILARES
CENDI ESTRELLA,ESTRELLA,GUSTAVO A. MADERO,19.4759,-99.1157,3,PILARES
CENDI ZAPATA (TABLAS DE SAN AGUSTIN),TABLAS DE SAN AGUSTIN,GUSTAVO A. MADERO,19.4634,-99.1158,3,PILARES
FARO MIACATLAN,SAN JERONIMO MIACATLAN,MILPA ALTA,19.1931,-99.0119,2,PILARES
SAN JUAN DE ARAGON VI SECCION,SAN JUAN DE ARAGON VI SECCION,GUSTAVO A. MADERO,19.4667,-99.0659,3,PILARES
SAN JUAN DE ARAGON VII SECCION,SAN JUAN DE ARAGON VII SECCION,GUSTAVO A. MADERO,19.4701,-99.0755,2,PILARES
APATLACO,CAMPAMENTO 2 DE OCTUBRE 2118,IZTACALCO,19.3819,-99.1148,5,PILARES
SAN JUAN TEPENAHUAC,SAN JUAN TEPENAHUAC,MILPA ALTA,19.1874,-98.9941,2,PILARES
VILLA DE ARAGÓN,VILLA DE ARAGON 2592,GUSTAVO A. MADERO,19.463,-99.0581,5,PILARES
AMPLIACIÓN PROVIDENCIA,PROVIDENCIA 2395,GUSTAVO A. MADERO,19.4788,-99.0725,5,PILARES
PROVIDENCIA (ZACATECAS),PROVIDENCIA 2395,GUSTAVO A. MADERO,19.4839,-99.0708,3,PILARES
JARDINES TECMA,LOS PICOS DE IZTACALCO SECCION 1RA 2311,IZTACALCO,19.3885,-99.1159,4,PILARES
SAN JUAN JOYA,PARAJE SAN JUAN JOYA,IZTAPALAPA,19.3361,-99.0672,1,PILARES
LOMAS DE LA ESTANCIA,SANTIAGO ACAHUALTEPEC 2DA AMPLIACION 2530,IZTAPALAPA,19.3405,-99.0077,3,PILARES
CALMECAC,MIRAVALLES 2339,IZTAPALAPA,19.3341,-98.997,4,PILARES
SANTA CATARINA,LA CONCEPCION 2238,TLÁHUAC,19.3187,-98.964,4,PILARES
ALAMEDA ORIENTE,MEXICO,VENUSTIANO CARRANZA,19.4318,-99.0539,5,PILARES
GRAN CANAL DEL NORTE,SIMON BOLIVAR 2549,VENUSTIANO CARRANZA,19.4477,-99.1032,3,PILARES
CENDI RAMON CORONA,INDUSTRIAL,GUSTAVO A. MADERO,19.476,-99.1244,2,PILARES
COLOSIO (GIRASOL),LUIS DONALDO COLOSIO,GUSTAVO A. MADERO,19.559806,-99.147158,5,PILARES
BOSQUES METROPOLITANA (BOSQUES DEL PEDREGAL),BOSQUES DEL PEDREGAL,TLALPAN,19.27081322,-99.24341866,4,PILARES
(RIO MIXCOAC) SANTA LUCIA II,SANTA LUCIA 2502,ÁLVARO OBREGÓN,19.35617122,-99.25189002,4,PILARES
HUAYAMILPAS,AJUSCO HUAYAMILPAS,COYOACÁN,19.3242721,-99.15119319,3,PILARES
SAN NICOLAS TETELCO,SAN NICOLAS TETELCO,TLÁHUAC,19.21788234,-98.9724583,5,PILARES
SELENE,SELENE 2546,TLÁHUAC,19.29577751,-98.99790476,5,PILARES
CHICOASEN,PEDREGAL DE SAN NICOLAS 1RA SECCION 2374,TLALPAN,19.29135274,-99.2300306,3,PILARES
CHICLERA (PROGRESISTA),PROGRESISTA,VENUSTIANO CARRANZA,19.43592758,-99.10828927,3,PILARES
